id_score,id_match,id_team,id_player,goals,assists
1,1,1,109,0,1
2,1,1,108,1,2
3,1,1,110,1,0
4,1,1,111,2,1
5,1,2,209,0,1
6,1,2,208,1,0
7,2,3,309,0,1
8,2,3,310,1,0
9,2,4,411,0,1
10,2,4,410,0,1
11,2,4,409,1,0
12,2,4,410,1,0
13,3,5,509,0,1
14,3,5,510,1,0
15,3,6,611,0,1
16,3,6,611,1,0
17,4,7,709,0,1
18,4,7,708,0,1
19,4,7,710,1,1
20,4,7,711,2,0
21,4,8,811,0,1
22,4,8,810,0,1
23,4,8,806,0,1
24,4,8,808,1,0
25,4,8,809,1,0
26,4,8,810,1,0
27,5,9,907,0,1
28,5,9,910,0,1
29,5,9,911,2,0
30,6,11,1108,0,1
31,6,11,1109,1,0
32,6,12,1210,1,0
33,7,2,209,0,1
34,7,2,210,0,1
35,7,2,211,2,0
36,8,1,109,0,1
37,8,1,111,0,2
38,8,1,108,1,0
39,8,1,107,1,0
40,8,1,111,1,0
41,9,8,805,0,1
42,9,8,806,1,1
43,9,8,809,2,1
44,10,7,710,0,2
45,10,7,711,0,1
46,10,7,708,2,1
47,10,7,709,2,0
48,11,10,1009,1,0
49,11,10,1010,0,1
50,11,12,1207,1,0
51,12,11,1011,1,0
52,12,11,1109,0,2
53,12,11,1108,1,0
54,12,9,909,0,2
55,12,9,910,1,0
56,12,9,911,1,0
57,13,1,109,0,1
58,13,1,108,0,1
59,13,1,111,0,1
60,13,1,107,3,0
61,14,2,209,0,1
62,14,2,208,1,0
63,14,2,211,0,1
64,14,2,211,1,0
65,15,5,508,1,0
66,15,8,807,0,1
67,15,8,804,0,1
68,15,8,805,1,0
69,15,8,807,1,1
70,15,8,810,1,0
71,16,7,709,0,1
72,16,7,708,0,1
73,16,7,710,0,1
74,16,7,710,1,0
75,16,7,709,1,1
76,16,7,710,3,1
77,18,11,1111,1,0
78,19,1,109,0,1
79,19,1,108,1,1
80,19,1,110,1,1
81,19,1,111,1,0
82,20,11,1111,0,1
83,20,11,1110,0,1
84,20,11,1108,1,0
85,20,11,1109,1,0
86,22,8,805,0,1
87,22,8,806,0,1
88,22,8,807,2,0
89,22,8,809,1,1
90,23,7,709,0,1
91,23,7,710,0,1
92,23,7,711,2,0
93,23,9,909,1,1
94,23,9,908,1,1
95,23,9,910,1,1
96,23,9,908,1,0
97,23,9,909,1,1
98,24,2,210,1,0
